id,priority,family,eco,name,pgn,why_it_matters,white_plan,black_plan,middlegame_tabia,key_ideas,common_traps,avoid,tags,related
sicilian_najdorf_english_attack,A,Sicilian Defense,B90,Najdorf Variation — English Attack,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be3 e5 7. Nb3 Be6 8. f3,"Главная соревновательная ветка Сицилианской: чёрные получают динамику, белые — пространство и атаку.","Рокировка в длинную, Qd2, g4-g5, давление по d-файлу и на короля.","...b5, ...Nbd7, ...Rc8, иногда ...h5; цель — контратака на ферзевом фланге и контроль d5.","Разноцветные атаки: белые давят на короля, чёрные вскрывают ферзевый фланг. Время важнее материала.",Поле d5 — стратегический якорь белых. | ...b5-b4 гонит коня c3 и ускоряет контригру. | Не играй g4 без рокировки/поддержки.,,Белым: автоматический 0-0-0 без оценки ...b5-b4. | Чёрным: пассивная защита короля без контрудара.,1.e4 | black:c5 | sharp,
sicilian_najdorf_classical,A,Sicilian Defense,B92,Najdorf Variation — Classical / Opocensky,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be2 e5 7. Nb3 Be7 8. O-O O-O,"Более спокойная альтернатива English Attack; нужна, чтобы понимать позиционные Найдорфы.","Be2, O-O, a4, Be3, Qd2/Re1; игра за контроль d5 и давление в центре.","...b5, ...Bb7, ...Nbd7, ...Rc8; равновесие между центром и ферзевым флангом.",Маневренная борьба: ключ — не отдать d5 и не проспать ...d5.,...d5 — главный освобождающий удар чёрных. | a4 белых замедляет ...b5.,,,,
sicilian_dragon_yugoslav,A,Sicilian Defense,B76,Dragon Variation — Yugoslav Attack,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. f3 O-O 8. Qd2 Nc6 9. O-O-O,Классический пример гонки атак: полезен для понимания фианкетто против центра.,"Длинная рокировка, h4-h5, Bh6, размен слона g7, атака по h-линии.","...Rc8, ...Ne5, ...Nc4, ...Qa5, давление на c3 и b2.","Кто быстрее вскроет линию у короля соперника, тот диктует игру.",Слон g7 — душа позиции чёрных. | Белые часто хотят Bh6 до h4-h5. | Жертвы на c3 типичны.,Белые должны учитывать ...Rxc3 в тактических мотивах.,,,
sicilian_accelerated_dragon_maroczy,A,Sicilian Defense,B36,Accelerated Dragon — Maroczy Bind,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Bg7 6. Be3 Nf6 7. Nc3 O-O,Частый способ чёрных избежать югославской атаки; белым важно знать Мароци.,"Зажим c4+e4, Be2, O-O, Qd2, Rfd1; контролируй d5.","...d6, ...a5, ...Nd7, ...Nc5; чёрные ломают зажим через ...a4 или ...b5/ ...d5.","Позиционная борьба за d5: белые душат, чёрные ищут освобождение.",Не выпускай ...d5 бесплатно. | Чёрным нельзя играть пассивно: нужен план контрудара.,,,,
sicilian_classical_rauzer,A,Sicilian Defense,B60-B69,Classical Sicilian — Richter-Rauzer,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6 6. Bg5 e6 7. Qd2 Be7 8. O-O-O,Системный способ белых наказать классическое развитие чёрных.,"Связка коня f6, длинная рокировка, f4/e5 или атака по h-линии.","...a6, ...Be7, ...O-O, ...Bd7; подготовить ...b5 или ...d5.","Структура похожа на Найдорф, но без ...a6 в ранний момент — у белых больше давления на f6.",Bg5 провоцирует ослабления. | Чёрным важно не отстать в развитии.,,,,
sicilian_scheveningen_keres,A,Sicilian Defense,B80-B89,Scheveningen — Keres Attack,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. g4,"Ключевой урок: когда чёрные строят ...e6+d6, белые могут атаковать до рокировки.","g4-g5, h4, Bg2/Be3, давление на f6 и d6.","...h6, ...a6, ...Nc6, ...Be7; иногда контрудар ...d5.",Острая позиция: белые покупают пространство ценой риска для короля.,"6.g4 — не «авантюра», а темповая атака на коня f6. | Чёрным нужен конкретный антидот, не общие ходы.",,,,
sicilian_taimanov,A,Sicilian Defense,B47,Taimanov Variation,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7,Гибкая Сицилианская без раннего ...d6; часто встречается у позиционных игроков.,"Be3, Qd2, O-O-O или c4; следи за ...Nf6 и ...Bb4.","...a6, ...Nf6, ...Bb4, ...b5; чёрные не спешат с ...d6.",Главная интрига — сможет ли белый закрепить центр или чёрный ударит ...Nf6/...Bb4.,Qc7 поддерживает ...b5 и давит на c3/e5. | Белым важно не позволить лёгкое ...Bb4 с темпом.,,,,
sicilian_kan,A,Sicilian Defense,B41-B43,Kan Variation,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3 Nf6 6. O-O Qc7,"Очень частая практическая Сицилианская: гибко, но требует понимания пространства.","Bd3, O-O, c4 или Qe2; держи e4 и готовь f4/e5.","...Qc7, ...Nf6, ...b5, ...Bb7; удар по e4 и ферзевый фланг.",Белые имеют пространство; чёрные играют на провокацию пешечных слабостей.,...a6 готовит ...b5 и отнимает b5 у фигур. | c4 белых превращает позицию в Мароци.,,,,
sicilian_sveshnikov,A,Sicilian Defense,B33,Sveshnikov Variation,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3 b5,Современная топовая линия: чёрные добровольно дают слабость d5 ради активности.,"Nd5, Bxf6, c3, Nc2-e3; использовать поле d5 и структуру.","...b5, ...Be6, ...Rc8, ...f5; активность и давление на центр.","Стратегия против динамики: белые давят на d5, чёрные доказывают, что темпы важнее.",Поле d5 — компенсация белых за уступку пространства. | Чёрным нельзя медлить с ...f5 или развитием.,,,,
sicilian_kalashnikov,B,Sicilian Defense,B32,Kalashnikov Variation,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5 5. Nb5 d6 6. c4,Родственник Свешникова без раннего ...Nf6; часто уводит соперника из заученной теории.,"c4, Nc3, Be2, O-O; зажим d5 и контроль чёрных рычагов.","...Be7, ...f5, ...Nf6, ...a6; чёрные играют на темпы и фланговую активность.",Мароци-подобный зажим против динамического ...f5.,"Белым полезно закрепить d5 до того, как чёрные освободятся.",,,,
